ｃ,名前,,立ち絵,,SE,BGM,
167,兄貴,「ほらよ、眠気が飛ぶやつだ」,,,,,
168,兄貴,「なあ、もっといい薬は要らないのか？」,,,,,
168,？？,「いい薬？」,,,,,
168,兄貴,「集中力が上がる薬とか頭が良くなる薬とかもあるぞ」,,,,,
169,？？,「そんな都合の良い薬、あるわけないでしょ！　あんた、私をバカにしてんの！？」,,,,,
169,兄貴,「いや、要らないならいいさ」,,,,,
169,？？,「不愉快な男ね！　バカならバカらしくおとなしく私の言うことだけ聞いてなさい！」,,,,,
169,兄貴,「ああ、わかったわかった。余計な口を挟んで悪かったよ」,,,,,
170,？？,「まったく！」,,,,,
63,―,WAIT,,,,,1
172,手下,「兄貴」,,,,,
172,兄貴,「……なんだ？」,,,,,
173,手下,「ヤっちまいますか？　あの生意気な女」,,,,,
173,兄貴,「よせ。合法なものを買う金払いのいい客だ。無駄にしたくはねえ」,,,,,
173,手下,「合法……ですか？」,,,,,
173,兄貴,「ああ。あの女が買ってるのはヤクじゃなくて、ただの無水カフェインだ。そうとは気付いてないがな」,,,,,
174,兄貴,「それよりも、乱暴したいやつらにあてがう女をどうするか考えねえとな」,,,,,
174,手下,「はい、兄貴」,,,,,
63,―,WAIT,,,,,0.5
63,―,FADEIN,,背景８,,,0
178,先生,「では、答案用紙を返すので呼ばれたら順に取りに来るように。最高点は９６点、平均点は６２点だった。次はもう少し頑張るように」,,,,,
179,先生,「９６点。おめでとう、最高点だぞ――」,,,,,
179,先生,「――進藤茜」,,,,,
179,進藤,「はいっ！　ありがとうございます！」,,,,,
180,先生,「５６点」,,,,,
181,先生,「……良いとは言えない点数だ」,,,,,
182,先生,「平均近くとはいえ、そもそもの平均があまり良くないからな。だが――」,,,,,
183,先生,「――それを加味しても、よく頑張ったな、暮六ひつじ」,立ち絵１,,,,
184,先生,「正直、驚いたぞ。よくここまで点数を伸ばしたものだ」,,,,,
185,暮六,「ありがとうございます」,,,,,
186,先生,「授業中の居眠りはいただけないが、最近は放課後に熱心に勉強を聞きに来るようになったし、先生も嬉しいぞ」,,,,,
187,暮六,「ありがとうございます」,,,,,
188,先生,「勉強態度でいえば、他の先生方からも、」,,一枚絵８,,,
188,暮六,「先生」,,,,,
188,先生,「ん？　なんだ？」,,,,,
188,暮六,「……星見ソラさんは、どうなるんですか？」,,,,,
189,先生,「……まだ決まっていない」,,,,,
190,先生,「ほら、騒ぐな。残りの答案返していくぞ」,,背景８,,,
62,―,FADEOUT,,,,,SLOW
23,―,WAIT,なし,カット,,,0.5
21,―,FADEIN,,背景５,,,0
193,―,WAIT,,一枚絵９,,,0.5
195,―,WAIT,,,nc369787_銃声-P2(4),,0.5
196,ゲーム友達A,『ナイス』,,,,,
196,ゲーム友達B,『ナイス、ヘッショ』,,,,,
196,星見,「ｔｈｘ」,,,,,
197,ゲーム友達A,『この後は？』,,,,,
197,星見,「私が倉庫の裏手に回り込むから、表から撃ち続けて。できれば、陣地として確保することを狙ってるように見せてちょうだい」,,,,,
197,ゲーム友達A,『おｋ、ケチらずに弾薬叩き込む』,,,,,
198,星見,「裏手回ったわ。これから１０カウントで飛び込むから、援護よろしく」,,,,,
198,ゲーム友達B,『任せろ、手榴弾で目を引く』,,,,,
198,ゲーム友達A,『合わせる』,,,,,
199,星見,「２、１――今っ！」,,,,,
199,ゲーム友達A,『ＧＯＧＯＧＯ！』,,,,,
200,ゲーム友達B,『撃ち殺せー！』,,,,,
201,ゲーム友達A,『☆ミさん、ナイスゥー！』,,,銃声,,
201,ゲーム友達B,『☆ミさん、マジうまいね。助かったわ』,,,,,
202,星見,「このくらい、当然よ。私は天才なんだから」,,,,,
203,星見,「……天才、なんだから」,,,,,
204,星見心の声,ひつじの夢を聞いた、あの日、私は結局、何も答えられなかった。,,,,雲の隙間,
205,星見心の声,『病気で苦しんだから、自分と同じような病気を持つ人を助ける医者になりたい』,,一枚絵７（１）,,,
205,星見心の声,ひつじの夢は単純で明快で至極ありふれていて――とても、<r=まぶ>眩</r>しかった。,,,,,
206,星見心の声,居眠りを重ねて、成績を落として、クラスメイトからバカにされて――それでも、学校に通い続けた。,,,,,
206,星見心の声,何もかも諦めたような顔で<r=はかな>儚</r>げに笑ってたくせに、私なんかより何百倍も何千倍も強い人間だった。,,,,,
207,星見心の声,勉強ができて、それで私は何がしたいのだろうか？,,背景６,,,
207,星見心の声,一流企業に勤める？　弁護士になる？　エリート官僚になる？,,,,,
207,星見心の声,……どれも、ピンと来ない。,,,,,
208,星見心の声,手元にある紙を見る。,,,,,
208,星見心の声,『今日は帰らないので、ご飯は買うか外食してください』,,,,,
208,星見心の声,母は今日も帰らないつもりらしい。,,,,,
209,星見,「……やだな。『いい子にしていれば』なんて思う歳じゃないのに」,,,,,
210,星見心の声,私の父母は仕事のために生きている。,,,,,
210,星見心の声,家には滅多に帰らない。,,,,,
210,星見心の声,思えば、<r=こご>凍</r>えるほど静かな夜を忘れるため、彼らに褒めてもらいたくて、勉強を始めたような気がする。,,,,,
211,星見,「いい大学に入って、」,,,,,
212,星見,「いい成績で卒業して、」,,,,,
213,星見,「いい給料が出る仕事に就いて、」,,,,,
214,星見,「人生の残りを走りきれるだけのお金を人より少し早く得て、」,,,,,
215,星見,「それから……私は何をしたらいいの？」,,,,,
216,星見心の声,走っていた理由も、走り続ける理由も見失った。,,,,,
217,星見心の声,でも、夜は来る。,,,,,
217,星見心の声,彼女の時間はやってくる。,,,,,
218,星見心の声,やはり、彼女はノスフェラトゥだったのだ。,,,,,
218,星見心の声,<r=わたし>人間</r>とは相容れない存在だったのだ。,,,,,
219,星見心の声,夜が寂しくないよう、私は<r=こご>凍</r>えながら、目を閉じた。,,,,,
220,星見心の声,次に目を開けたとき、<r=かのじょのじかん>夜</r>が終わっていることを祈って。,,,,,
62,―,FADEOUT,なし,カット,,stop,SLOW
23,―,WAIT,,,,,0.5
21,―,FADEIN,,背景７,,,0
224,進藤,「そう！ そうなのよ！」,,,,,
225,進藤,「１位！ １位になったのよ！  だから――」,,,,,
226,進藤,「――え？ あ……ごめんなさい。こんな時間に電話掛けたりして」,,,,,
227,進藤,「……はい。……はい、ごめんなさい。１位になるのがこんなに遅くなって。もっと、勉強頑張ります」,,,,,
228,―,WAIT,,,電話_お話し中_ツーツー音,,1
230,進藤,「……」,,,,,
231,進藤,「……少しくらい、褒めてくれたって」,,,,,
23,―,WAIT,,,,,0.5
233,暮六,「お、おはっ！ おは、おはなっ！ お話、したいことがありますっ！」,立ち絵19,,,,
234,先生,「どうした、暮六？ テストの採点に間違いでもあったか？」,,,,,
234,暮六,「えっ！？ 間違ってるんですかっ！？」,立ち絵12,,,,
234,先生,「いや、知らんよ」,,,,,
234,暮六,「間違ってるなら点数増やしてください！」,,,,,
234,先生,「人の話を聞け」,,,,,
235,先生,「それで、何の用事なんだ？」,,,,,
235,暮六,「ほ、星見さんに追試のチャンスを与えてもらえませんかっ！？」,立ち絵19,,,,
236,先生,「星見については、先生たちも働きかけるつもりはあるが……」,なし,一枚絵10,,,
236,暮六,「お、お願いしますっ！ 縄で縛ってでも連れてきますから！ どうか、お願いします！」,,,,,
237,先生,「……どうして、暮六はそこまでする？ 星見はただのクラスメイトだろ？」,,,,,
237,暮六,「ほ、星見さんは――」,,,,,
238,暮六,「星見さんは……と、友達、ですから」,,,,,
239,先生,「……なるほど、友達だからか」,,,,,
240,先生,「わかった。先生に任せておけ、追試ができるように他の先生方に頭を下げてくる」,立ち絵18,背景７,,,
240,暮六,「先生……！」,,,,,
240,先生,「だから、暮六は、縄かけてでも星見を連れてくるように。いいな？」,,,,,
240,暮六,「はいっ！」,,,,,
241,暮六,「ありがとうございますっ！」,立ち絵１,,,,
241,先生,「ははは、暮六も星見の説得を頑張れよ」,,,,,
23,―,WAIT,なし,,,,0.5
242,進藤,「……」,,,,,
245,進藤,「もしもし、」,,,,,
246,進藤,「ありったけ出すわ。頭がいい女が嫌いな男、集められる？できるだけ、野蛮なやつがいいわ」,,,,,
62,―,FADEOUT,なし,カット,,,SLOW
23,―,WAIT,,,,,0.5
21,―,FADEIN,,,,,0
249,暮六,「星見さん、星見さん、遊びましょう？」,,一枚絵11,,nc2422_オルゴールBGM,
250,星見心の声,小さなひつじが居た。,,,,,
251,星見心の声,夢だろうか。私は、こんな時期にひつじと会った覚えはない。,,,,,
252,暮六,「そんなことないわ。星見さんだって、ほら――」,,,,,
252,暮六,「――まだ、小さな女の子じゃない」,,,,,
253,星見心の声,見下ろせば、私の体も小さかった。なるほど、小さい私が小さいひつじと会っている。夢ではなかったのか。,,,,,
254,暮六,「そんなことよりも、一緒に遊びましょう。お外でかけっこでもいいし、お外でボール投げでもいいし、お外でブランコでもいいわ」,,,,,
254,星見心の声,選択肢にやや偏りが見られる。,,,,,
255,星見心の声,いや、それよりも大きな問題がある。,,,,,
255,星見,「ダメだよ。ひつじ。私はひつじを放って逃げ出したんだ。合わせる顔がない」,,,,,
256,暮六,「何も問題ないよ。だって、顔を合わせなくなっちゃったのは、未来の大きなあたしたち。小さなあたしたちには関係ないもの」,,,,,
256,星見,「な、なるほど……。ひつじ賢い！」,,,,,
257,暮六,「それじゃあ、行きましょ」,,,,,
257,星見,「行くって……どこへ？」,,,,,
257,暮六,「そんなの、決まってるわ」,,,,,
258,暮六,「――あたしと星見さんは友達。だから、疑う余地なんて何もないの」,,,,,
62,―,FADEOUT,なし,カット,,,SLOW
23,―,WAIT,,,,,0.5
21,―,FADEIN,,背景６,,,0
263,星見,「……居ないわよ」,,,,,
264,星見,「私が何日すっぽかしたと思ってんのよ」,,,,,
265,星見,「ひつじは居ない。絶対に」,,,,,
266,星見,「……絶対に」,,,,,
23,―,WAIT,,,,,0.5
269,星見,「……」,,,,,
62,―,FADEOUT,なし,カット,,stop,SLOW
23,―,WAIT,,,,,0.5
21,―,FADEIN,,背景４,,,0
273,星見,「はっ……はっ……」,,,,,
274,星見,「ひー……やっば。思った、より、体、なまって、る……」,,,,,
275,星見,「エレベーター使うべきだったわ。感傷と体力は別。ちょっとおとなになったわ」,,,,,
276,―,WAIT,,背景３,ドアを開ける,,0.5
278,星見,「やっぱりね、そんな都合の良いことなんてあるわけないのよ」,,,,,
279,星見心の声,夜。今は彼女の時間。でも、屋上は誰も居なかった。,,,,,
280,星見心の声,あれから何日経ったと思っている。,,,,,
280,星見心の声,待ち続けてくれているなんて思うのは、どうかしている,,,,,
280,星見心の声,そもそも、先に行かなくなったのは私の方だ。,,,,,
280,星見心の声,彼女を責めるなんてお門違い。,,,,,
281,星見心の声,あれから何日も経ったのに、まだ何も見つけられない私。,,,,,
281,星見心の声,人のせいにしている、身勝手な私。,,,,,
281,星見心の声,わかっている。わかっている。悪いのは私だ。,,,,,
281,星見心の声,私だけれど――,,,,,
282,星見心の声,――それでも、涙が止まらなかった。,,一枚絵12,,,
283,星見心の声,空っぽな私は、空っぽなまま、大事なものをなくしてしまったのだとようやく気づいた。,,,,,
283,星見心の声,間違った私を慰めてくれる人など居るはずもない。,,,,,
283,星見心の声,この虚ろな後悔に、私は――,,,,,
283,進藤,「あら、星見さん、本当に居るじゃない」,,,,,
284,星見,「……進藤さん？」,,背景３,,Libra,
284,進藤,「優等生サマが、こんな時間にひとりで屋上。タバコでもやりに来たの？ それとも、飛び降りちゃうつもりだった？」,,,,,
285,星見,「……」,,,,,
285,進藤,「あら、おだんまり。まあ、どっちでもいいけど。それじゃ、早速やっちゃってよ」,,,,,
285,星見,「え？」,,,,,
286,チンピラA,「悪くねえツラじゃん」,,,,,
286,チンピラB,「へへっ。頭が良くてお高く止まってる女がこいつか」,,,,,
286,チンピラC,「たっぷり思い知らせてやろうぜ」,,,,,
286,チンピラD,「ククク……」,,,,,
286,星見,「な、何……この人たち？ 進藤さん？ 誰なの？ どういうことなの？」,,,,,
287,進藤,「わかってて聞くな、アバズレ」,,,,,
288,進藤,「あんたが邪魔なの。死んで。死ななくてもいいけど、ズタボロに犯されて、二度と日の下を歩けなくなって」,,,,,
288,チンピラA,「俺らも何をしてそこまで恨まれたかなんて知らねえけどさー」,,,,,
288,チンピラB,「へへっ。女のくせに、俺らに代わってエリートコース歩もうとするなんて許せないじゃん？」,,,,,
288,チンピラC,「天罰ってやつだよ、天罰ってやつ」,,,,,
288,チンピラD,「ククク……」,,,,,
289,進藤,「悲鳴を上げたければ、上げるといいわ。人が来れば、どのみちあんたは終わり。いい気味ね」,,,,,
289,チンピラA,「悪く思うなよ。俺らは頭の良い女ってぇのが大嫌いなんだよ」,,,,,
289,チンピラB,「そうそう」,,,,,
289,チンピラC,「勉強さえできりゃ、自分だけはおいしい思いができるってぇ考えがな」,,,,,
289,チンピラD,「ククク……だからな」,,,,,
290,進藤,「痛っ！？ 何すんのよ！ このクソバカチンピラ！」,,,,,
290,進藤,「きゃっ！？」,,,,,
291,チンピラA,「言っただろうが。俺らは勉強ができてお高く付いた女が大嫌いなんだよ」,,,,,
291,チンピラB,「へへっ、当然、お前だってそれに含まれるんだよ」,,,,,
291,チンピラC,「叫んでもいいぜ、お前が言った通り、お前も破滅するだけだ」,,,,,
291,チンピラD,「ククク……」,,,,,
291,進藤,「わ、私に変なことをしたら、あんたたちの兄貴分が黙っちゃいないわよ！」,,,,,
292,チンピラA,「その兄貴からの伝言だ。『もう金のないやつは要らない。最後に迷惑料代わりにこいつらの世話をしろ』だとさ」,,,,,
292,進藤,「そ、そんなっ！？」,,,,,
293,進藤,「だ、誰か助け――」,,,,,
293,―,WAIT,,,キック,,0.75
294,進藤,「うぅ……」,,,,,
294,チンピラA,「おいおい、気絶させんなよ。ユルくなんだろが,,,,,
294,チンピラB,「へへっ、悪い悪い」,,,,,
294,チンピラC,「なぁに、問題ないさ」,,,,,
294,チンピラD,「ククク……そうそう――」,,,,,
294,チンピラD,「――もうひとり、居るんだからな」,,,,,
295,星見心の声,何もわからない。,,,,,
296,星見心の声,私は、大事なことが何もわからない。,,,,,
296,星見心の声,だから、居場所も友達も失って、今や貞操まで奪われようとしている。,,,,,
298,星見心の声,これは、きっと私にふさわしい罰なん……だ。,,,,,
299,チンピラA,「ん？ 何か、言ったか？」,,,,,
299,星見,……だ。,,,,,
300,チンピラA,「はっきり言えよ。はっきり言えば、誰かが聞き届けてくれるかもしれないぜ」,,,,,
300,チンピラB,「そうそう」,,,,,
301,星見,「やだ……。誰か……誰か、助けて……。お母さん、お父さん――」,,,,,
302,星見,――ひつじ。,,一枚絵13,,stop,
302,暮六,「そこは、真っ先に呼んでほしかったんですが、まあ、よしとしましょうか」,,,,,
303,チンピラA,「な、なんだ、この女、いったいどこから！？」,,,,,
303,暮六,「多少、無駄な抵抗をなさいな。あたし、怒ってるんです。星見さんを――」,,,,,
303,暮六,「――大事な友達の星見さんを傷つけようとしたこと、絶対に許しません」,,,,,
304,チンピラA,「女ひとり増えたところで、何ができる！ やっちまえ！」,,,,,
304,チンピラB,「おうっ！」,,,,,
304,暮六,「かかってきなさい、チンピラさんたち！」,,,,,
304,―,WAIT,,,素早い動きの効果音,,1
305,チンピラA,「ぐわあああ」,,,キック,,
305,チンピラB,「ぎゃあああ」,,,,,
305,チンピラC,「な、なんだ、このパワー！？ スピード！？」,,,,,
305,チンピラD,「人間技じゃねえ！？」,,,,,
305,暮六,「当然ですよ。だって、あたしは――」,,,,,
306,暮六,「――ノスフェラトゥですから」,,,,,
307,星見心の声,ノスフェラトゥ病。,,,,,
307,星見心の声,かかると髪から色素が抜けてきれいな銀髪になり、夜間に眠れなくなり――,,,,,
308,星見心の声,人間離れした力を発揮するようになる病気。,,,,,
308,星見心の声,私の友達は、紛れもなく<r=ノスフェラトゥ>夜の王</r>だったのだ。,,一枚絵14,,,
308,暮六,「いえーい、星見さーん。勝ちましたよー」,,,,,
308,星見,「……バカ」,,,,,
308,暮六,「ありゃ、手厳しい」,,,,,
309,星見,「……ねえ、ひつじ」,,,,,
309,暮六,「なんですか、星見さん？」,,,,,
310,星見,「私、なりたいもの、見つかったわ」,,,,,
310,暮六,「え？ なかったんですか？」,,,,,
310,星見,「今は、そういうボケ要らないから」,,,,,
310,暮六,「あの、あたし、１００パーセント素なんですが……」,,,,,
310,星見,「要らないから」,,,,,
310,暮六,「そんな」,,,,,
310,暮六,「むー。それで、いったい、星見さんは何になりたくなったっていうんですか？」,,,,,
311,星見,「うん。あのね、私は――」,,背景２,,,
312,,ED,,,,,
314,星見,「ひーつーじー！」,,,,,
314,暮六,「ひょえっ！？ どうして、ここが！？」,,,,,
314,星見,「あんたの行動はワンパターンなのよ！」,,,,,
315,星見,「ほら、行くわよ。時間ないって言ったでしょ」,,,,夏の思い出,
315,暮六,「あああああ、待って待って、待ってください。心の準備が不完全で」,,,,,
315,星見,「年単位で時間あったんだからその間に整えときなさいよ。もう、いくら待っても同じよ」,,,,,
315,暮六,「そんなぁ！？」,,,,,
316,星見,「そんなに気にするほどじゃないわよ。同じ学年でも半分は年上なのよ？」,,,,,
316,暮六,「えっ？ じゃあ、あたしも珍しくない……？」,,,,,
316,星見,「いや、３浪はちょっと珍しいわ」,,,,,
316,暮六,「あああああ」,,,,,
317,星見,「まあ、諦めなさい。せいぜい、私が先輩としてビシバシ教えてあげるから」,,,,,
317,暮六,「ううぅ……星見さんと同じところに行きたいと思ったばっかりに、こんなことになろうとは……」,,,,,
318,暮六,「ふぁーあ……相変わらず、昼間は眠いですね……」,,,,,
318,星見,「はいはい。もっとシャンとなさい」,,,,,
318,暮六,「うぅ～……そう言われても……」,,,,,
319,暮六,「あたしと同じくらいまで起きてたのに、星見さんは凄いですね」,,,,,
319,星見,「まあ、これでも夢があるからね」,,,,,
320,暮六,「夢……そういえば、星見さんのなりたいものって結局、何になったんですか？」,,一枚絵15,,,
320,星見,「他のやつには教えてもいいけど、ひつじにだけは絶対教えない」,,,,,
320,暮六,「ええっ！？ なんで！？」,,,,,
321,星見心の声,あのとき、私は思ったのだ。ひつじのように、誰かを助ける自分になりたい、と。,,,,,
322,暮六,「むー……」,,,,,
322,星見心の声,だから、私の目標はひつじ。,,,,,
322,星見心の声,この、心優しきノスフェラトゥの眷属に、私はなりたいのだ。,,,,,
323,暮六,「はっ！人に言えない夢……なりたいもの……まさか……！？」,,,,,
323,星見,「１００パーセント違うから、今思いついたものは声に出さずに飲み込んでしまいなさい。言えないのはひつじにだけよ」,,,,,
324,,タイトル画面へ,,,,,（タイトル画面はBGM雲の隙間ででお願いします）
,,,,,,,RESET
1,―,FADEIN,,,,,0
2,星見心の声,私は天才である。,,リビング,,HIRAHIRA,
2,星見心の声,少なくとも、同じクラスにいる皆はそう思っていることだろう。,,,,,
3,星見,「ううむ……」,,,,,
4,星見心の声,台所に座すダンボール箱を見て、私は唸った。,,,,,
4,星見,「ちょ、ちょっと……買いすぎたかな……？」,,,,,
5,星見心の声,――ちょっと買いすぎた？,,,嘆き,,
5,星見心の声,いやいや、そんなレベルではない。,,,,,
5,星見心の声,ダンボール箱は私が抱きしめても手が届かないほどの大きさ。,,,,,
5,星見心の声,中に詰め込まれていたチョコレートの量は私の年間消費量を優に超えているのだ。,,,,,
5,星見心の声,何の計算もせずポチッと買っていいような量では、到底ないもの。,,,,,
6,星見心の声,正直後悔している。,,,,,
6,星見心の声,凄く後悔している。,,,,,
6,星見心の声,こんな量、どうやって始末をつければいいのか見当も付かない。,,,,,
7,ニュースキャスター,「食品ロスの問題が叫ばれる中、『チョコレートの大きさが親愛度の大きさを示す』という昨今の流行りはよいとはいえないのではないでしょうか？」,,,テレビつける,,
7,ニュースキャスター,「私もアナウンサーである前に女性ですから、バレンタインは気になるイベントですけど、量が増えればお財布を直撃しますし……チョコレートの大きさが気持ちの大きさではないと思います」,,,,,
8,星見心の声,おい、ニュースキャスターども。,,,,,
8,星見心の声,私は覚えているぞ、お前らが先週まで「チョコの大きさで気持ちの大きさを示さないと時代遅れ！」「バレンタインはチョコサイズがすべて！」ってほざいてたのを。,,,,,
9,星見心の声,腹立たしいテレビを乱暴に消して、私は天井を仰いだ。,,,テレビ消す,,
10,星見,「はーぁ……」,,,,,
11,星見,「……」,,,,,
12,星見心の声,チラリ。私はそれを見た。,,,,,
13,星見心の声,部屋の隅に転がる――アホそのもののサイズで出来上がったチョコレートがそこにはあった。,,,,,
14,星見,「……私、アホなのかなぁ？」,,,,,
15,星見心の声,多分、クラスメイトはまだ私を天才だと思い込んでいる。,,,,,
1,―,DISPLAYTITLE,,,,,START
1,―,FADEIN,,進藤の家,,,START
17,進藤,「いや、それを相談して私にどうしろと？」,,,,カフェオレオレオ,
17,星見,「このギガントチョコ食べない？」,,,,,
17,進藤,「食べるわけないでしょ」,,,,,
17,星見,「やっぱり？」,,,,,
18,進藤,「というか、あんたね？　無警戒に私の家を訪ねるんじゃないわよ。何かあったらどうすんのよ？」,,,,,
1,―,FADEIN,,一枚絵12,,VOLUME,0.5
19,星見心の声,進藤。,,,,,
19,星見心の声,去年に彼女が起こした事件はもちろん忘れていない。,,,,,
19,星見心の声,あわやキズモノにされてしまうところだったのだ。忘れようがない。,,,,,
20,星見心の声,だが、正気を取り戻した彼女は真摯だった。,,,,,
20,進藤,『ごめんなさい！　私はどうかしていたわ！　許されないことをしてしまったのはわかっているの！　何でも従うから私をどうとでもしてちょうだい！』,,,,,
20,星見心の声,恥も外聞もかなぐり捨てて、彼女は私に何度も何度も謝った。,,,,,
20,星見心の声,そうして彼女は幾度も罰を求めたが、求めたのは罰だけで決して許されようとはしなかった。,,,,,
20,星見心の声,だから、私は彼女を信用し、許すことにしたのだ。,,,,,
2,―,FADEIN,,進藤の家,,,0
21,進藤,\n「ねえ、ちょっと！　星見！　聞いてるの？」,,進藤の家,,VOLUME,1
21,星見,「聞いてる聞いてる。出会い方が違ったら私たちもっとすんなりいい友人になってたなーと思ってただけよ」,,,,,
22,進藤,「そ、そう……？」,,,,,
23,進藤,「あ……いや、違うっ！　私は自分より勉強できる友人なんて真っ平ごめんよっ！　ふんっ！」,,,,,
23,星見,「えー。友達になろうよー」,,,,,
23,進藤,「嫌よ。ぜーったい嫌！」,,,,,
23,星見,「あはは」,,,,,
24,星見心の声,こうして家に上げて相談に乗ってくれる時点で立派に友人だと思うのだが、まあ、それは言わないでおこう。,,,,,
24,星見心の声,主には彼女の矜持を守るために。,,,,,
25,星見,「でも、こんなでっかいの邪魔だから、少しでももらってくれると助かるんだけど」,,,,,
25,進藤,「嫌よ。だいたい、なんで邪魔になるのよ？」,,,,,
25,星見,「えっ？」,,,,,
26,星見,「テレビで流行りだ流行りだってうるさいから気の迷いで作っちゃったけど、私にあげたい相手なんていないし」,,,,,
26,進藤,「あんた、アホなの？」,,,,,
26,星見,「えっ？　なんで急に冷たくなったの？」,,,,,
26,進藤,「さっきから優しくなんてしてないわよ！」,,,,,
27,進藤,「どーーーーーーーしてもわかんないっていうんなら、もらってやってもいいけど」,,,,,
27,星見,「え、本当？」,,,,,
27,進藤,「でも、」,,,,,
28,進藤,「誰でもいいってんなら、私じゃなくてあの怪力女に食わせてもいいじゃないの」,,,,,
29,星見,「……」,,,,,
30,星見,「それは……その、」,,,,,
31,星見,「き、気恥ずかしいし……」,,,照れ,,
31,進藤,「痴話を持ち込むな。出てけ」,,,,,
32,星見,「あっ！　ちょっ！　本気で追い出そうとしてない！？　ちょっと待って！　待ってよ！　待ってってば！」,,,,,
33,進藤,「るっさいわね！　あんたと違って私は合格ラインギリギリなのよ！　痴話で勉強時間潰すなら出ていきなさいよ！」,,,,,
33,星見,「え？　この時期になってもまだ覚えることあるの？」,,,,,
34,―,FADEOUT,,,殴り,,FAST
34,―,WAIT,,,,FADEOUT,2
34,―,WAIT,,駅の改札,,町中の喧騒_大,0
34,―,FADEIN,,,,,0
35,星見,「いったぁ……。ぶたなくったっていいじゃないのよ……」,,,,,
36,星見,「追い出されたせいで早く着きすぎちゃったなぁ……」,,,,,
36,星見心の声,時間を確認すれば、予定より１時間も早い。,,,,,
36,星見心の声,さて、どうやって時間を潰したものか。,,,,,
37,星見,「ん？　何かしら？」,,,,,
37,星見心の声,待ち合わせ場所に小さな人だかりがあった。,,,,,
37,星見心の声,はて、イベントでもあっただろうか？,,,,,
38,暮六,「スヤーーーーーー」,,,,,
38,星見心の声,覗き込むとアホがスヤスヤしてた。,,,,,
39,暮六,「うーん、むにゃむにゃ。あと５０分……」,立ち絵22,,,HIRAHIRA,
39,星見,「長いわ！」,,,,,
40,暮六,「ふわぁああ……あれ？　星見さん？」,,,,,
40,星見,「何よ？」,,,,,
40,暮六,「まだ時間じゃないですよね？」,,,,,
40,星見,「まあ、そうね」,,,,,
41,暮六,「じゃあ、もう一眠りしますねー」,立ち絵23,,,,
41,星見,「寝るなとは言わんが、せめて場所を選べ」,,,ツッコミ,,
41,暮六,「え？　待ち合わせ場所ってここですよね？」,立ち絵12,,,,
41,星見,「それでも乙女か貴様」,,,,,
42,暮六,「失敬な。あたしはこれでも立派な乙女のつもりですよ」,立ち絵19,,,,
42,星見,「どの辺が乙女してるか言ってみなさいよ？」,,,,,
42,暮六,「駅前は人通りが多いので安全に眠れます！」,立ち絵24,,,,
42,星見,「まず、乙女が人前で寝るな」,,,,,
43,星見心の声,暮六がノスフェラトゥ病で日中眠たいことは知っていたが、普段から表で寝ているなら問題だ。,,,,,
00,星見,「とにかく、今後はあまり表で寝ないようになさいな」,,,,,
43,暮六,「むっ。あたしだって普段から表でグースカ寝てるわけじゃないですからね？」,立ち絵19,,むっ,,
43,星見,「そうなの？」,,,,,
43,暮六,「もちろんですよ！　乙女なので！」,立ち絵24,,,,
43,星見,「暮六の乙女はわりと怪しいんだけど」,,,,,
43,星見心の声,花も恥じらえ。,,,,,
44,星見,「でも、それならなんだってあんなところで寝てたのよ？」,,,,,
44,暮六,「え？　星見さんと遊びに行くのに間違っても遅刻したら嫌だったからですけど？」,立ち絵１,,,,
45,星見,「おふっ……！」,,,,,
45,星見心の声,変な声出たぞ。,,,,,
46,星見,「あんたねぇ……。そういうことは相手を選んで言いなさいよ」,,,,,
46,暮六,「むむっ。選んで言ってますぅー！」,立ち絵19,,むむっ,,
46,星見,「はいはい。喫茶店でも行くわよ」,,,,,
46,暮六,「あ。星見さん、待ってー」,立ち絵３,,,,
1,―,FADEOUT,,,,stop,SLOW
2,―,WAIT,,,,,1
47,―,FADEIN,,カフェテリア,,,0
48,星見,「で、暮六。なんだったっけ？」,立ち絵１,,,カフェオレオレオ,
48,暮六,「何がですか？」,立ち絵12,,,,
48,星見,「今日の映画のタイトル」,,,,,
48,暮六,「『月夜に愛を』ですね」,立ち絵１,,喜び,,
48,星見,「ああ、そんなタイトルだった。面白いの？」,,,,,
1,,SMALL,,,,,
49,暮六,「前評判は良いですね。監督はホラーの天才で知られるスティブーン・ロビンソン氏ですし、先行上映会で『新しい挑戦が多くの観客に受け入れられると確信している』というコメントもありました。『金切り声の里』『忘れられた男』『失われた代償』いずれもスティブーン監督が自信をのぞかせた時の作品です。面白いと断言して構わないかと」,立ち絵１,,,,
1,,NORMAL,,,,,
49,星見,「予想の１０倍濃い回答が返ってきたんだけど」,,,,,
50,星見,「え？　何、暮六ってその監督の映画好きなの？」,,,,,
50,暮六,「好き？　スティブーン監督は他に並ぶ者のない最高の映画監督ですよ？　好きと思うどころか住まう次元を同じくすることすらおこがましい……！」,立ち絵10,,ガタッ,,
50,星見,「ヒエッ」,,,,,
51,暮六,「授業中寝すぎて脳細胞がふやけてるともっぱらの噂のあたしですが！」,,,,,
51,星見,「そんな噂でいいのか」,,,,,
51,暮六,「あたしですが、ことスティブーン監督作品に関しては朝まで語れる自信がありますね！」,,,,,
51,星見,「へー、そりゃ凄い」,,,,,
51,星見,「あれ？　反応悪い」,,,,,
52,暮六,「もしや、星見さんはあまり映画が好きではないのですか？」,立ち絵１,,,,
